text,total_num_physical_reads,min_rows,max_rows,query_hash,query_plan_hash,execution_count
"if exists(select * from sys.server_event_sessions where name='telemetry_xevents')
	drop event session telemetry_xevents on server

create event session telemetry_xevents on server
 ADD EVENT [sqlserver].[error_reported]
(
WHERE severity >= 16
or (error_number = 18456
    or error_number = 17803 or error_number = 701 or error_number = 802 or error_number = 8645 or error_number = 8651
    or error_number = 8657 or error_number = 8902 or error_number = 41354 or error_number = 41355 or error_number = 41367
    or error_number = 41384 or error_number = 41336 or error_number = 41309 or error_number = 41312 or error_number = 41313
    or error_number = 33065 or error_number = 33066)
),

 ADD EVENT [sqlserver].[missing_column_statistics],

 ADD EVENT [sqlserver].[missing_join_predicate],

 ADD EVENT [sqlserver].[server_memory_change],

 ADD EVENT [sqlserver].[stretch_database_disable_completed],

 ADD EVENT [sqlserver].[stretch_database_enable_completed],

 ADD EVENT [sqlserver].[stretch_database_reauthorize_completed],

 ADD EVENT [sqlserver].[stretch_index_reconciliation_codegen_completed],

 ADD EVENT [sqlserver].[stretch_remote_column_execution_completed],

 ADD EVENT [sqlserver].[stretch_remote_column_reconciliation_codegen_completed],

 ADD EVENT [sqlserver].[stretch_remote_index_execution_completed],

 ADD EVENT [sqlserver].[stretch_table_codegen_completed],

 ADD EVENT [sqlserver].[stretch_table_alter_ddl],

 ADD EVENT [sqlserver].[stretch_table_create_ddl],

 ADD EVENT [sqlserver].[stretch_table_predicate_not_specified],

 ADD EVENT [sqlserver].[stretch_table_predicate_specified],

 ADD EVENT [sqlserver].[stretch_table_remote_creation_completed],

 ADD EVENT [sqlserver].[stretch_table_row_migration_results_event],

 ADD EVENT [sqlserver].[stretch_table_row_unmigration_results_event],

 ADD EVENT [sqlserver].[stretch_table_data_reconciliation_results_event],

 ADD EVENT [sqlserver].[stretch_table_unprovision_completed],

 ADD EVENT [sqlserver].[stretch_table_validation_error],

 ADD EVENT [sqlserver].[stretch_table_hinted_admin_update_event],

 ADD EVENT [sqlserver].[stretch_table_hinted_admin_delete_event],

 ADD EVENT [sqlserver].[stretch_table_query_error],

 ADD EVENT [sqlserver].[stretch_remote_error],

 ADD EVENT [sqlserver].[stretch_query_telemetry],

 ADD EVENT [sqlserver].[temporal_ddl_system_versioning],

 ADD EVENT [sqlserver].[temporal_dml_transaction_fail],

 ADD EVENT [sqlserver].[temporal_ddl_period_add],

 ADD EVENT [sqlserver].[temporal_ddl_period_drop],

 ADD EVENT [sqlserver].[temporal_ddl_schema_check_fail],

 ADD EVENT [sqlserver].[data_masking_ddl_column_definition],

 ADD EVENT [sqlserver].[data_masking_traffic],

 ADD EVENT [sqlserver].[data_masking_traffic_masked_only],

 ADD EVENT [sqlserver].[data_classification_ddl_column_definition],

 ADD EVENT [sqlserver].[data_classification_traffic],

 ADD EVENT [sqlserver].[data_classification_auditing_traffic],

 ADD EVENT [sqlserver].[feature_restriction_ddl],

 ADD EVENT [sqlserver].[feature_restriction_usage],

 ADD EVENT [sqlserver].[always_encrypted_query_count],

 ADD EVENT [sqlserver].[rls_query_count],

 ADD EVENT [sqlserver].[auto_stats],

 ADD EVENT [sqlserver].[database_cmptlevel_change],

 ADD EVENT [sqlserver].[database_created],

 ADD EVENT [sqlserver].[database_dropped],

 ADD EVENT [sqlserver].[reason_many_foreign_keys_operator_not_used],

 ADD EVENT [sqlserver].[interleaved_exec_status],

 ADD EVENT [sqlserver].[table_variable_deferred_compilation],

 ADD EVENT [sqlserver].[graph_match_query_compiled],

 ADD EVENT [sqlserver].[approximate_count_distinct_query_compiled],

 ADD EVENT [sqlserver].[login_protocol_count],

 ADD EVENT [sqlserver].[column_store_index_build_low_memory],

 ADD EVENT [sqlserver].[column_store_index_build_throttle],

 ADD EVENT [sqlserver].[columnstore_delete_buffer_flush_failed],

 ADD EVENT [sqlserver].[columnstore_delta_rowgroup_closed],

 ADD EVENT [sqlserver].[columnstore_index_reorg_failed],

 ADD EVENT [sqlserver].[columnstore_log_exception],

 ADD EVENT [sqlserver].[columnstore_rowgroup_merge_failed],

 ADD EVENT [sqlserver].[columnstore_tuple_mover_delete_buffer_truncate_timed_out],

 ADD EVENT [sqlserver].[columnstore_tuple_mover_end_compress],

 ADD EVENT [sqlserver].[query_memory_grant_blocking],

 ADD EVENT [sqlserver].[natively_compiled_module_inefficiency_detected],

 ADD EVENT [sqlserver].[natively_compiled_proc_slow_parameter_passing],

 ADD EVENT [sqlserver].[xtp_alter_table],

 ADD EVENT [sqlserver].[xtp_db_delete_only_mode_updatedhktrimlsn],

 ADD EVENT [sqlserver].[xtp_stgif_container_added],

 ADD EVENT [sqlserver].[xtp_stgif_container_deleted],

 ADD EVENT [xtpcompile].[cl_duration],

 ADD EVENT [xtpengine].[xtp_physical_db_restarted],

 ADD EVENT [xtpengine].[xtp_db_delete_only_mode_enter],

 ADD EVENT [xtpengine].[xtp_db_delete_only_mode_update],

 ADD EVENT [xtpengine].[xtp_db_delete_only_mode_exit],

 ADD EVENT [xtpengine].[parallel_alter_stats],

 ADD EVENT [xtpengine].[serial_alter_stats],

 ADD EVENT [sqlserver].[json_function_compiled]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[string_escape_compiled]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[window_function_used]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[sequence_function_used]
(
ACTION ([database_id])
),

 ADD EVENT [qds].[query_store_db_diagnostics],

 ADD EVENT [sqlserver].[index_defragmentation],

 ADD EVENT [sqlserver].[create_index_event],

 ADD EVENT [sqlserver].[index_build_error_event],

 ADD EVENT [sqlserver].[alter_column_event],

 ADD EVENT [sqlserver].[cardinality_estimation_version_usage],

 ADD EVENT [sqlserver].[query_optimizer_compatibility_level_hint_usage],

 ADD EVENT [sqlserver].[query_tsql_scalar_udf_inlined],

 ADD EVENT [sqlserver].[tsql_scalar_udf_not_inlineable],

 ADD EVENT [sqlserver].[recovery_checkpoint_stats],

 ADD EVENT [sqlserver].[multistep_execution]
(
ACTION ([database_id])
),

 ADD EVENT [sqlserver].[fulltext_filter_usage],

 ADD EVENT [sqlserver].[tx_commit_abort_stats],

 ADD EVENT [sqlserver].[server_start_stop]
add target package0.ring_buffer
(set occurrence_number = 100)
with
(
	MAX_DISPATCH_LATENCY = 120 SECONDS,
	MAX_MEMORY = 4 MB,
	startup_state = on
)
if not exists (select * from sys.dm_xe_sessions where name = 'telemetry_xevents')
	alter event session telemetry_xevents on server state=start
",0,0,0,0x6efba46b2d06029c,0xadcb4ee0aada1041,15
"
           
       DECLARE @msticks bigint, @mstickstime datetime, @LastHour datetime
                SELECT @mstickstime = GETDATE(), @msticks = ms_ticks from sys.dm_os_sys_info
                SELECT @LastHour = DATEADD(HOUR, -1, @mstickstime);
                
                WITH Quartiles AS (
                SELECT DISTINCT       
                    CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) EventDate,
                       CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) AS [EventTime],         
                       PERCENTILE_DISC(0.5) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS MedianSQLCPU
                           ,           
                       PERCENTILE_CONT(0.75) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS Q3SQLCPU
                     ,           
                       PERCENTILE_CONT(0.25) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS Q1SQLCPU
                  FROM (
                    SELECT timestamp, CONVERT (xml, record) AS 'record' 
                    FROM sys.dm_os_ring_buffers 
                    WHERE ring_buffer_type = 'RING_BUFFER_SCHEDULER_MONITOR'
                      AND record LIKE '%<SystemHealth>%'
                            ) AS t
                     WHERE DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)) = DATEPART(HOUR, @LastHour)
                     AND CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE) = CAST(@LastHour AS DATE)
              ),
              SimpleStats AS (
                SELECT         
                    CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) EventDate,
                       CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) AS [EventTime],  
                    MAX(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [MaxSQLCPU], 
                       MIN(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [MinSQLCPU], 
                       AVG(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [AvgSQLCPU]          
                  FROM (
                    SELECT timestamp, CONVERT (xml, record) AS 'record' 
                    FROM sys.dm_os_ring_buffers 
                    WHERE ring_buffer_type = 'RING_BUFFER_SCHEDULER_MONITOR'
                      AND record LIKE '%<SystemHealth>%'
                            ) AS t
              WHERE DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)) = DATEPART(HOUR, @LastHour)
                     AND CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE) = CAST(@LastHour AS DATE)
              GROUP BY 
                     CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) ,
                     CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) 
              )
              SELECT 
                     ss.EventDate AS EventDate,
                     ss.EventTime AS EventTime,
                     ss.MaxSQLCPU,
                     ss.MinSQLCPU,
                     ss.AvgSQLCPU,
                     q.MedianSQLCPU,
                     q.Q1SQLCPU,
                     q.Q3SQLCPU
              FROM SimpleStats ss
                     INNER JOIN Quartiles q
                           ON q.EventDate = ss.EventDate
                           AND q.EventTime = ss.EventTime
     ",1,1,1,0x6b190b5a26bb6fdb,0xbc41c3737af663ea,14
"
           
       DECLARE @msticks bigint, @mstickstime datetime, @LastHour datetime
                SELECT @mstickstime = GETDATE(), @msticks = ms_ticks from sys.dm_os_sys_info
                SELECT @LastHour = DATEADD(HOUR, -1, @mstickstime);
                
                WITH Quartiles AS (
                SELECT DISTINCT       
                    CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) EventDate,
                       CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) AS [EventTime],         
                       PERCENTILE_DISC(0.5) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS MedianSQLCPU
                           ,           
                       PERCENTILE_CONT(0.75) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS Q3SQLCPU
                     ,           
                       PERCENTILE_CONT(0.25) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS Q1SQLCPU
                  FROM (
                    SELECT timestamp, CONVERT (xml, record) AS 'record' 
                    FROM sys.dm_os_ring_buffers 
                    WHERE ring_buffer_type = 'RING_BUFFER_SCHEDULER_MONITOR'
                      AND record LIKE '%<SystemHealth>%'
                            ) AS t
                     WHERE DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)) = DATEPART(HOUR, @LastHour)
                     AND CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE) = CAST(@LastHour AS DATE)
              ),
              SimpleStats AS (
                SELECT         
                    CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) EventDate,
                       CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) AS [EventTime],  
                    MAX(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [MaxSQLCPU], 
                       MIN(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [MinSQLCPU], 
                       AVG(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [AvgSQLCPU]          
                  FROM (
                    SELECT timestamp, CONVERT (xml, record) AS 'record' 
                    FROM sys.dm_os_ring_buffers 
                    WHERE ring_buffer_type = 'RING_BUFFER_SCHEDULER_MONITOR'
                      AND record LIKE '%<SystemHealth>%'
                            ) AS t
              WHERE DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)) = DATEPART(HOUR, @LastHour)
                     AND CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE) = CAST(@LastHour AS DATE)
              GROUP BY 
                     CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) ,
                     CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) 
              )
              SELECT 
                     ss.EventDate AS EventDate,
                     ss.EventTime AS EventTime,
                     ss.MaxSQLCPU,
                     ss.MinSQLCPU,
                     ss.AvgSQLCPU,
                     q.MedianSQLCPU,
                     q.Q1SQLCPU,
                     q.Q3SQLCPU
              FROM SimpleStats ss
                     INNER JOIN Quartiles q
                           ON q.EventDate = ss.EventDate
                           AND q.EventTime = ss.EventTime
     ",0,0,1,0x6e87acc6e9467f77,0xb5b4f05d85b03660,14
"SELECT  TOP 30 d.[name]
FROM    sys.databases d WITH(nolock)
	   INNER JOIN sys.master_files mf WITH(nolock)
			  ON mf.database_id = d.database_id 
	   LEFT OUTER JOIN sys.database_mirroring dm WITH(nolock)
			  ON dm.database_id = d.database_id
	   LEFT OUTER JOIN sys.dm_hadr_database_replica_states hadr WITH(nolock)
			  ON hadr.[database_id] = d.[database_id]
WHERE d.[state] NOT BETWEEN 1 AND 6 -- online only
AND d.[user_access] NOT IN (1, 2) -- multi user
AND d.[source_database_id] IS NULL -- not snapshot
AND d.[name] NOT IN ('master', 'tempdb', 'model', 'msdb') -- not system
AND ISNULL(dm.[mirroring_role], 1) = 1 -- either principal or not mirrored
AND d.[is_in_standby] = 0 -- not standby
AND DATABASEPROPERTYEX(d.[name], 'Collation') IS NOT NULL -- started
AND ISNULL(hadr.[database_state], 0) = 0 -- online in HADR
GROUP BY d.[name] 
ORDER BY SUM(mf.size) DESC -- sampling using size
",1,0,0,0xdf7f26cdda1c98c3,0xb0c169573abb1ee2,1
"
    SELECT  mf.database_id, db.is_accelerated_database_recovery_on, mf.size as 'Data Size'
	,mf_logs.size as 'Log Size', mf.size * 8/1024 'Data Size (MB)',
	mf_logs.size * 8/1024.0 'Log Size (MB)',
	pvs.persistent_version_store_size_kb,
	pvs.online_index_version_store_size_kb, pvs.current_aborted_transaction_count, pvs.pvs_off_row_page_skipped_low_water_mark,
	pvs.pvs_off_row_page_skipped_min_useful_xts, pvs.pvs_off_row_page_skipped_oldest_active_xdesid
	FROM sys.master_files mf
	LEFT JOIN sys.master_files mf_logs
	ON mf_logs.database_id = mf.database_id
	AND mf_logs.type_desc = 'LOG'
	JOIN sys.dm_tran_persistent_version_store_stats pvs ON mf.database_id = pvs.database_id
	JOIN sys.databases db ON mf.database_id = db.database_id
	WHERE mf.type_desc = 'ROWS';
    ",0,4,4,0x7425733b989c0270,0xbf562b9111344786,1
"
    SELECT 
    CASE 
        WHEN name like  '%msdtcprx.dll%' THEN 'msdtcprx'
        WHEN name like  '%sqljdbc_xa.dll%' THEN 'sqljdbc_xa'
        ELSE NULL 
    END AS LoadedModules,
    COUNT(1) AS ModuleCount
        FROM sys.dm_os_loaded_modules WITH (NOLOCK)
        WHERE name like  '%msdtcprx.dll%' 
    OR name like  '%sqljdbc_xa.dll%'
        GROUP BY 
    CASE WHEN name like  '%msdtcprx.dll%' THEN 'msdtcprx'
        WHEN name like  '%sqljdbc_xa.dll%' THEN 'sqljdbc_xa'
        ELSE NULL 
    END;
    ",0,0,0,0x4fb7b87706f3c8bd,0x44c8488a78d0df58,1
"
    SELECT COUNT_BIG(DISTINCT transaction_uow) DTCActiveTransactions
        FROM sys.dm_tran_active_transactions WITH (NOLOCK)
        WHERE name = 'DTC Transaction';
    ",0,1,1,0xb2c35a45f02fcc6a,0x48f21ed5c0bd29ee,1
"
      select 1 IsPolybaseCluster
      where exists (select * from sys.dm_cluster_endpoints)
    ",0,0,0,0xe589dacb0092a7f5,0xbc984c80faa37654,1
"
      SELECT 
        database_id, 
        is_auto_cleanup_on,
        retention_period,
        retention_period_units_desc,
        retention_period_units
      FROM sys.change_tracking_databases
    ",0,0,0,0x4601f19bdf4b594d,0x4ea077a919ad48df,1
"
      SELECT COUNT_BIG(*) AS NumOfNodes FROM [sys].[dm_hadr_cluster_members] WHERE member_type = 0
    ",1,1,1,0xe38a92841c7505ca,0xd4a3754026c233d3,1
"
      SELECT quorum_type_desc FROM [sys].[dm_hadr_cluster]
    ",0,0,0,0x62d49f7c5723b249,0xfcc20aab105c0d87,1
"
      SELECT pr.type PrincipalType,
      pr.default_language_name DefaultLanguageName,
      COUNT_BIG(DISTINCT pr.principal_id) PrincipalCount
      FROM sys.server_principals AS pr   
      GROUP BY  
      pr.type, pr.default_language_name
    ",0,6,6,0xc54ef99e278ba94c,0x1a8073b2d9c9ea46,1
"
      SELECT COUNT(*) as provider_count, provider FROM sys.servers WITH(nolock) WHERE is_linked=1 GROUP BY provider
    ",0,0,0,0x10c79b062068276f,0x01bbaab2f07cf681,1
"
      SELECT top 1000 
      group_id, replica_id, group_database_id,group_database_id, is_local, is_primary_replica, synchronization_state, is_commit_participant, synchronization_health, database_state, is_suspended
      FROM sys.dm_hadr_database_replica_states WITH(nolock) 
      where group_id in (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,0x2dcc03153407a676,0x5ab55ed85bfaaf35,1
"
      select group_id, listener_id, LEN(ISNULL(dns_name,'')) AS dns_length, is_conformant
      from sys.availability_group_listeners WITH(nolock)
      where group_id in (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,0x8f4d69e9e39b5073,0xdca4fd7d5252ef03,1
"
      select count(*) as AgsWithDtcSupportOn
      from sys.availability_groups WITH(nolock) where dtc_support = 1 and group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,1,1,0xfceb14d5a4453f34,0x0b2e400c9be10c79,1
"
      SELECT 
      host_platform,
      host_distribution,
      host_release,
      host_service_pack_level,
      host_sku,
      os_language_version 
      FROM sys.dm_os_host_info
    ",0,1,1,0x43d3bdb6383766bc,0x4b1601c2e8424866,1
"
      SELECT state, current_size_in_kb FROM sys.dm_os_buffer_pool_extension_configuration WITH(nolock)
    ",0,1,1,0x65f7d421db438c4d,0x9aea1f8b2d08f5c9,1
"

      /*The following query helps to understand how the Microsoft SQL Server Connector for Azure Key Vault (EKM Provider) is being used for those configuring Azure Key Vault for Transparent Data Encryption (TDE), Cell Level Encryption (CLE), and/or Backup encryption.
      The count of cryptographic EKM providers and the version number of SQL Server Connector on the SQL Server instance are collected. For non-Microsoft EKM providers, no specific information other than the count of non-Microsoft providers is being queried.
      Note: 'A16BA7DE-26E0-43C4-871C-4ED750C65597' is the provider guid for the Microsoft SQL Server Connector, and is used only to help identify its use by the instance.*/

      SELECT
      'Other' as ProviderType,
      null as ProviderVersion,
      count_big(*) as ProviderCount
      FROM sys.dm_cryptographic_provider_properties
      WHERE guid != 'A16BA7DE-26E0-43C4-871C-4ED750C65597'
      UNION ALL
      SELECT
      'SQLServerConnector' as ProviderType,
      provider_version as ProviderVersion,
      1 as ProviderCount
      FROM sys.dm_cryptographic_provider_properties
      WHERE guid = 'A16BA7DE-26E0-43C4-871C-4ED750C65597'
      ORDER BY ProviderType, ProviderVersion
    ",0,1,1,0xc0b07adcfa91b5ac,0x02f8860b8ec4ecce,1
"
      select language, counter_name, counter_value from sys.dm_external_script_execution_stats
    ",0,0,0,0xdf0264ceaf4dff0c,0x602797d1e1574d8a,1
"
      SELECT count_big(*) AS external_resource_pools from sys.resource_governor_external_resource_pools WHERE name != 'default'
    ",0,1,1,0x5b96a1064fd7b72d,0x972781d7a494a3a4,1
"
      select counter_name, cntr_value from sys.dm_os_performance_counters where object_name like '%External Scripts%'
    ",0,8,8,0xd63e40f84e4e2d17,0x5ed9cf073adb3b93,1
"
      select cntr_value as merge_policy_evaluation
      from sys.dm_os_performance_counters WITH(nolock)
      where
      object_name like '%columnstore%' and
      counter_name ='Total Merge Policy Evaluations' and
      instance_name = '_Total'
    ",0,1,1,0x422bce31569a5c0a,0x5ed9cf073adb3b93,1
"
      -- SQLXI datapoint - count of db files in XI path
      SELECT COUNT_BIG(name) AS xi_db_file_count
      FROM sys.master_files WITH(nolock)
      WHERE credential_id IS NOT NULL
      AND state = 0
    ",0,1,1,0xde276055e5d37185,0x5796d365a6a65cbf,1
"
      SELECT
      total_count,
      rows_touched,
      dependencies_taken,
      dependencies_failed,
      validation_failures
      FROM sys.dm_xtp_transaction_stats WITH(nolock)
    ",0,1,1,0x129c8f83c1469f1c,0x2e82763dabccdef7,1
"
      SELECT
      ISNULL(sum(allocated_bytes)/1024,0) AS total_memory_allocated_for_system_kb
      FROM sys.dm_xtp_system_memory_consumers WITH(nolock)
    ",1,1,1,0xf9f8eb95175291ad,0x920ff227763e758d,1
"
      select 1 as name, -- Temp DB
      case mf.type_desc
      when 'ROWS' then 1
      when 'LOG' then 2
      end as 'type',
      CAST(SUM(num_of_reads) as nvarchar(128)) as total_num_of_reads,
      CAST(SUM(num_of_bytes_read) as nvarchar(128)) as total_num_of_bytes_read,
      CAST(SUM(io_stall_read_ms) as nvarchar(128)) as total_io_stall_read_ms,
      CAST(SUM(num_of_writes) as nvarchar(128)) as total_num_of_writes,
      CAST(SUM(num_of_bytes_written) as nvarchar(128)) as total_num_of_bytes_written,
      CAST(SUM(io_stall_write_ms) as nvarchar(128)) as total_io_stall_write_ms,
      COUNT_BIG(*) as total
      from sys.dm_io_virtual_file_stats(NULL, NULL) fs, sys.master_files mf
      where fs.database_id = mf.database_id and fs.file_id = mf.file_id and fs.database_id = 2 and (fs.num_of_reads != 0 OR fs.num_of_writes != 0)
      group by mf.name, mf.type, mf.type_desc

      UNION ALL

      select 2 as name, -- User DBs
      case mf.type_desc
      when 'ROWS' then 1
      when 'LOG' then 2
      end as 'type',
      CAST(SUM(num_of_reads) as nvarchar(128)) as total_num_of_reads,
      CAST(SUM(num_of_bytes_read) as nvarchar(128)) as total_num_of_bytes_read,
      CAST(SUM(io_stall_read_ms) as nvarchar(128)) as total_io_stall_read_ms,
      CAST(SUM(num_of_writes) as nvarchar(128)) as total_num_of_writes,
      CAST(SUM(num_of_bytes_written) as nvarchar(128)) as total_num_of_bytes_written,
      CAST(SUM(io_stall_write_ms) as nvarchar(128)) as total_io_stall_write_ms,
      COUNT_BIG(*) as total
      from sys.dm_io_virtual_file_stats(NULL, NULL) fs, sys.master_files mf
      where fs.database_id = mf.database_id and fs.file_id = mf.file_id and fs.database_id > 4 and (fs.num_of_reads != 0 OR fs.num_of_writes != 0)
      group by mf.type, mf.type_desc

      UNION ALL

      select 3 as name, -- System DBs
      case mf.type_desc
      when 'ROWS' then 1
      when 'LOG' then 2
      end as 'type',
      CAST(SUM(num_of_reads) as nvarchar(128)) as total_num_of_reads,
      CAST(SUM(num_of_bytes_read) as nvarchar(128)) as total_num_of_bytes_read,
      CAST(SUM(io_stall_read_ms) as nvarchar(128)) as total_io_stall_read_ms,
      CAST(SUM(num_of_writes) as nvarchar(128)) as total_num_of_writes,
      CAST(SUM(num_of_bytes_written) as nvarchar(128)) as total_num_of_bytes_written,
      CAST(SUM(io_stall_write_ms) as nvarchar(128)) as total_io_stall_write_ms,
      COUNT_BIG(*) as total
      from sys.dm_io_virtual_file_stats(NULL, NULL) fs, sys.master_files mf WITH(nolock)
      where fs.database_id = mf.database_id and fs.file_id = mf.file_id and (fs.database_id = 1 OR fs.database_id = 3 OR fs.database_id = 4) and (fs.num_of_reads != 0 OR fs.num_of_writes != 0)
      group by mf.type, mf.type_desc

    ",2,4,4,0xd1de78aeef6f0c44,0x1e96b9d30a3d256a,1
