,text,total_num_physical_reads,min_rows,max_rows,query_hash,query_plan_hash,execution_count,ExecutionTime,QueryText,QueryPlan
10,"
           
       DECLARE @msticks bigint, @mstickstime datetime, @LastHour datetime
                SELECT @mstickstime = GETDATE(), @msticks = ms_ticks from sys.dm_os_sys_info
                SELECT @LastHour = DATEADD(HOUR, -1, @mstickstime);
                
                WITH Quartiles AS (
                SELECT DISTINCT       
                    CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) EventDate,
                       CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) AS [EventTime],         
                       PERCENTILE_DISC(0.5) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS MedianSQLCPU
                           ,           
                       PERCENTILE_CONT(0.75) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS Q3SQLCPU
                     ,           
                       PERCENTILE_CONT(0.25) WITHIN GROUP (ORDER BY record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')
                           )
                           OVER (PARTITION BY CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112),
                                  CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114)
                           ) AS Q1SQLCPU
                  FROM (
                    SELECT timestamp, CONVERT (xml, record) AS 'record' 
                    FROM sys.dm_os_ring_buffers 
                    WHERE ring_buffer_type = 'RING_BUFFER_SCHEDULER_MONITOR'
                      AND record LIKE '%<SystemHealth>%'
                            ) AS t
                     WHERE DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)) = DATEPART(HOUR, @LastHour)
                     AND CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE) = CAST(@LastHour AS DATE)
              ),
              SimpleStats AS (
                SELECT         
                    CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) EventDate,
                       CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) AS [EventTime],  
                    MAX(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [MaxSQLCPU], 
                       MIN(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [MinSQLCPU], 
                       AVG(record.value('(Record/SchedulerMonitorEvent/SystemHealth/ProcessUtilization)[1]', 'int')) AS [AvgSQLCPU]          
                  FROM (
                    SELECT timestamp, CONVERT (xml, record) AS 'record' 
                    FROM sys.dm_os_ring_buffers 
                    WHERE ring_buffer_type = 'RING_BUFFER_SCHEDULER_MONITOR'
                      AND record LIKE '%<SystemHealth>%'
                            ) AS t
              WHERE DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)) = DATEPART(HOUR, @LastHour)
                     AND CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE) = CAST(@LastHour AS DATE)
              GROUP BY 
                     CONVERT(VARCHAR(10), CAST(DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime) AS DATE), 112) ,
                     CONVERT(VARCHAR(30), TIMEFROMPARTS(DATEPART(HOUR, DATEADD (ms, -1 * (@msticks - [timestamp]),@mstickstime)), 00,00,00,00), 114) 
              )
              SELECT 
                     ss.EventDate AS EventDate,
                     ss.EventTime AS EventTime,
                     ss.MaxSQLCPU,
                     ss.MinSQLCPU,
                     ss.AvgSQLCPU,
                     q.MedianSQLCPU,
                     q.Q1SQLCPU,
                     q.Q3SQLCPU
              FROM SimpleStats ss
                     INNER JOIN Quartiles q
                           ON q.EventDate = ss.EventDate
                           AND q.EventTime = ss.EventTime
     ",0,0,1,b'n\x87\xac\xc6\xe9F\x7fw',b'\xb5\xb4\xf0]\x85\xb06`',3,,,
11,"CREATE PROC sys.sp_flush_commit_table_on_demand (@numrows as BIGINT = NULL, @deleted_rows BIGINT = NULL OUTPUT, @date_cleanedup DATETIME = NULL OUTPUT, @cleanup_ts BIGINT = NULL OUTPUT) AS
BEGIN

	IF (is_member('db_owner') = 0)
	BEGIN
		raiserror(21050,0,1)
		return 1
	END


	IF (@numrows<=0)
	BEGIN
		raiserror(23100,0,1)
		return 1
	END


	SET DEADLOCK_PRIORITY LOW
	
	IF  EXISTS (SELECT * FROM sys.change_tracking_databases where database_id = DB_ID())
	BEGIN
		DECLARE @batch_size INT
		IF (@numrows IS NULL or @numrows >= 4999)
			SET @batch_size = 4999
		ELSE
			SET @batch_size = @numrows

		-- checking for change tracking side table watermark
		DECLARE @deleted_rowcount INT
		SET		@cleanup_ts = change_tracking_hardened_cleanup_version ()
		RAISERROR(22866,0,1,35502,@cleanup_ts)

		-- checking for safe cleanup watermark
		DECLARE @cleanup_version BIGINT
		set @cleanup_version = safe_cleanup_version ()
		RAISERROR(22866,0,1,35503,@cleanup_version)

		IF @cleanup_ts > @cleanup_version
			SET @cleanup_ts = @cleanup_version

		SELECT @deleted_rowcount = 0, @deleted_rows = 0

		WHILE (1=1)
		BEGIN
			DELETE TOP(@batch_size) sys.syscommittab WHERE commit_ts < @cleanup_ts
			SELECT @deleted_rowcount = @@ROWCOUNT
			SELECT @deleted_rows += @deleted_rowcount
			SELECT @numrows -= @batch_size
			IF ((@numrows IS NOT NULL AND @numrows <= 0 ) OR @deleted_rowcount < @batch_size)
				BREAK;
		END

		select @date_cleanedup = min(commit_time) from sys.syscommittab where commit_ts = (select min(commit_ts) from sys.syscommittab)
		IF (@date_cleanedup is null)
			SET @date_cleanedup = GETUTCDATE()
		
	END
	ELSE IF EXISTS (SELECT * FROM sys.databases WHERE DB_NAME() not in ('master', 'tempdb', 'model', 'msdb', 'mssqlsystemresource'))
		TRUNCATE TABLE sys.syscommittab

END
",0,0,0,b'\x95LKk\xcb\xea\xad\xc5',b'\xbb\x81Y\xdf\xf0V\x00\xbf',4,,,
12,"CREATE PROC sys.sp_flush_commit_table_on_demand (@numrows as BIGINT = NULL, @deleted_rows BIGINT = NULL OUTPUT, @date_cleanedup DATETIME = NULL OUTPUT, @cleanup_ts BIGINT = NULL OUTPUT) AS
BEGIN

	IF (is_member('db_owner') = 0)
	BEGIN
		raiserror(21050,0,1)
		return 1
	END


	IF (@numrows<=0)
	BEGIN
		raiserror(23100,0,1)
		return 1
	END


	SET DEADLOCK_PRIORITY LOW
	
	IF  EXISTS (SELECT * FROM sys.change_tracking_databases where database_id = DB_ID())
	BEGIN
		DECLARE @batch_size INT
		IF (@numrows IS NULL or @numrows >= 4999)
			SET @batch_size = 4999
		ELSE
			SET @batch_size = @numrows

		-- checking for change tracking side table watermark
		DECLARE @deleted_rowcount INT
		SET		@cleanup_ts = change_tracking_hardened_cleanup_version ()
		RAISERROR(22866,0,1,35502,@cleanup_ts)

		-- checking for safe cleanup watermark
		DECLARE @cleanup_version BIGINT
		set @cleanup_version = safe_cleanup_version ()
		RAISERROR(22866,0,1,35503,@cleanup_version)

		IF @cleanup_ts > @cleanup_version
			SET @cleanup_ts = @cleanup_version

		SELECT @deleted_rowcount = 0, @deleted_rows = 0

		WHILE (1=1)
		BEGIN
			DELETE TOP(@batch_size) sys.syscommittab WHERE commit_ts < @cleanup_ts
			SELECT @deleted_rowcount = @@ROWCOUNT
			SELECT @deleted_rows += @deleted_rowcount
			SELECT @numrows -= @batch_size
			IF ((@numrows IS NOT NULL AND @numrows <= 0 ) OR @deleted_rowcount < @batch_size)
				BREAK;
		END

		select @date_cleanedup = min(commit_time) from sys.syscommittab where commit_ts = (select min(commit_ts) from sys.syscommittab)
		IF (@date_cleanedup is null)
			SET @date_cleanedup = GETUTCDATE()
		
	END
	ELSE IF EXISTS (SELECT * FROM sys.databases WHERE DB_NAME() not in ('master', 'tempdb', 'model', 'msdb', 'mssqlsystemresource'))
		TRUNCATE TABLE sys.syscommittab

END
",0,0,0,"b'\x8a\xa7*""\xc8\t4\x97'",b'\xee\xeb\xd2{\xb8L\xd7\xaa',4,,,
13,"SELECT  TOP 30 d.[name]
FROM    sys.databases d WITH(nolock)
	   INNER JOIN sys.master_files mf WITH(nolock)
			  ON mf.database_id = d.database_id 
	   LEFT OUTER JOIN sys.database_mirroring dm WITH(nolock)
			  ON dm.database_id = d.database_id
	   LEFT OUTER JOIN sys.dm_hadr_database_replica_states hadr WITH(nolock)
			  ON hadr.[database_id] = d.[database_id]
WHERE d.[state] NOT BETWEEN 1 AND 6 -- online only
AND d.[user_access] NOT IN (1, 2) -- multi user
AND d.[source_database_id] IS NULL -- not snapshot
AND d.[name] NOT IN ('master', 'tempdb', 'model', 'msdb') -- not system
AND ISNULL(dm.[mirroring_role], 1) = 1 -- either principal or not mirrored
AND d.[is_in_standby] = 0 -- not standby
AND DATABASEPROPERTYEX(d.[name], 'Collation') IS NOT NULL -- started
AND ISNULL(hadr.[database_state], 0) = 0 -- online in HADR
GROUP BY d.[name] 
ORDER BY SUM(mf.size) DESC -- sampling using size
",0,0,0,b'\xdf\x7f&\xcd\xda\x1c\x98\xc3',b'\xb0\xc1iW:\xbb\x1e\xe2',1,,,
14,"
    SELECT  mf.database_id, db.is_accelerated_database_recovery_on, mf.size as 'Data Size'
	,mf_logs.size as 'Log Size', mf.size * 8/1024 'Data Size (MB)',
	mf_logs.size * 8/1024.0 'Log Size (MB)',
	pvs.persistent_version_store_size_kb,
	pvs.online_index_version_store_size_kb, pvs.current_aborted_transaction_count, pvs.pvs_off_row_page_skipped_low_water_mark,
	pvs.pvs_off_row_page_skipped_min_useful_xts, pvs.pvs_off_row_page_skipped_oldest_active_xdesid
	FROM sys.master_files mf
	LEFT JOIN sys.master_files mf_logs
	ON mf_logs.database_id = mf.database_id
	AND mf_logs.type_desc = 'LOG'
	JOIN sys.dm_tran_persistent_version_store_stats pvs ON mf.database_id = pvs.database_id
	JOIN sys.databases db ON mf.database_id = db.database_id
	WHERE mf.type_desc = 'ROWS';
    ",0,4,4,b't%s;\x98\x9c\x02p',b'\xbfV+\x91\x114G\x86',1,,,
15,"
    SELECT 
    CASE 
        WHEN name like  '%msdtcprx.dll%' THEN 'msdtcprx'
        WHEN name like  '%sqljdbc_xa.dll%' THEN 'sqljdbc_xa'
        ELSE NULL 
    END AS LoadedModules,
    COUNT(1) AS ModuleCount
        FROM sys.dm_os_loaded_modules WITH (NOLOCK)
        WHERE name like  '%msdtcprx.dll%' 
    OR name like  '%sqljdbc_xa.dll%'
        GROUP BY 
    CASE WHEN name like  '%msdtcprx.dll%' THEN 'msdtcprx'
        WHEN name like  '%sqljdbc_xa.dll%' THEN 'sqljdbc_xa'
        ELSE NULL 
    END;
    ",0,0,0,b'O\xb7\xb8w\x06\xf3\xc8\xbd',b'D\xc8H\x8ax\xd0\xdfX',1,,,
16,"
    SELECT COUNT_BIG(DISTINCT transaction_uow) DTCActiveTransactions
        FROM sys.dm_tran_active_transactions WITH (NOLOCK)
        WHERE name = 'DTC Transaction';
    ",0,1,1,b'\xb2\xc3ZE\xf0/\xccj',b'H\xf2\x1e\xd5\xc0\xbd)\xee',1,,,
17,"
      select 1 IsPolybaseCluster
      where exists (select * from sys.dm_cluster_endpoints)
    ",0,0,0,b'\xe5\x89\xda\xcb\x00\x92\xa7\xf5',b'\xbc\x98L\x80\xfa\xa3vT',1,,,
18,"
      SELECT 
        database_id, 
        is_auto_cleanup_on,
        retention_period,
        retention_period_units_desc,
        retention_period_units
      FROM sys.change_tracking_databases
    ",0,0,0,b'F\x01\xf1\x9b\xdfKYM',b'N\xa0w\xa9\x19\xadH\xdf',1,,,
19,"
      SELECT COUNT_BIG(*) AS NumOfNodes FROM [sys].[dm_hadr_cluster_members] WHERE member_type = 0
    ",1,1,1,b'\xe3\x8a\x92\x84\x1cu\x05\xca',b'\xd4\xa3u@&\xc23\xd3',1,,,
20,"
      SELECT quorum_type_desc FROM [sys].[dm_hadr_cluster]
    ",0,0,0,b'b\xd4\x9f|W#\xb2I',b'\xfc\xc2\n\xab\x10\\\r\x87',1,,,
21,"
      SELECT pr.type PrincipalType,
      pr.default_language_name DefaultLanguageName,
      COUNT_BIG(DISTINCT pr.principal_id) PrincipalCount
      FROM sys.server_principals AS pr   
      GROUP BY  
      pr.type, pr.default_language_name
    ",0,6,6,"b""\xc5N\xf9\x9e'\x8b\xa9L""",b'\x1a\x80s\xb2\xd9\xc9\xeaF',1,,,
22,"
      SELECT COUNT(*) as provider_count, provider FROM sys.servers WITH(nolock) WHERE is_linked=1 GROUP BY provider
    ",0,0,0,"b""\x10\xc7\x9b\x06 h'o""",b'\x01\xbb\xaa\xb2\xf0|\xf6\x81',1,,,
23,"
      SELECT top 1000 
      group_id, replica_id, group_database_id,group_database_id, is_local, is_primary_replica, synchronization_state, is_commit_participant, synchronization_health, database_state, is_suspended
      FROM sys.dm_hadr_database_replica_states WITH(nolock) 
      where group_id in (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,b'-\xcc\x03\x154\x07\xa6v',b'Z\xb5^\xd8[\xfa\xaf5',1,,,
24,"
      select group_id, listener_id, LEN(ISNULL(dns_name,'')) AS dns_length, is_conformant
      from sys.availability_group_listeners WITH(nolock)
      where group_id in (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,b'\x8fMi\xe9\xe3\x9bPs',b'\xdc\xa4\xfd}RR\xef\x03',1,,,
25,"
      select count(*) as AgsWithDtcSupportOn
      from sys.availability_groups WITH(nolock) where dtc_support = 1 and group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,1,1,b'\xfc\xeb\x14\xd5\xa4E?4',b'\x0b.@\x0c\x9b\xe1\x0cy',1,,,
26,"
      SELECT 
      host_platform,
      host_distribution,
      host_release,
      host_service_pack_level,
      host_sku,
      os_language_version 
      FROM sys.dm_os_host_info
    ",0,1,1,b'C\xd3\xbd\xb687f\xbc',b'K\x16\x01\xc2\xe8BHf',1,,,
27,"
      SELECT state, current_size_in_kb FROM sys.dm_os_buffer_pool_extension_configuration WITH(nolock)
    ",0,1,1,b'e\xf7\xd4!\xdbC\x8cM',b'\x9a\xea\x1f\x8b-\x08\xf5\xc9',1,,,
28,"

      /*The following query helps to understand how the Microsoft SQL Server Connector for Azure Key Vault (EKM Provider) is being used for those configuring Azure Key Vault for Transparent Data Encryption (TDE), Cell Level Encryption (CLE), and/or Backup encryption.
      The count of cryptographic EKM providers and the version number of SQL Server Connector on the SQL Server instance are collected. For non-Microsoft EKM providers, no specific information other than the count of non-Microsoft providers is being queried.
      Note: 'A16BA7DE-26E0-43C4-871C-4ED750C65597' is the provider guid for the Microsoft SQL Server Connector, and is used only to help identify its use by the instance.*/

      SELECT
      'Other' as ProviderType,
      null as ProviderVersion,
      count_big(*) as ProviderCount
      FROM sys.dm_cryptographic_provider_properties
      WHERE guid != 'A16BA7DE-26E0-43C4-871C-4ED750C65597'
      UNION ALL
      SELECT
      'SQLServerConnector' as ProviderType,
      provider_version as ProviderVersion,
      1 as ProviderCount
      FROM sys.dm_cryptographic_provider_properties
      WHERE guid = 'A16BA7DE-26E0-43C4-871C-4ED750C65597'
      ORDER BY ProviderType, ProviderVersion
    ",0,1,1,b'\xc0\xb0z\xdc\xfa\x91\xb5\xac',b'\x02\xf8\x86\x0b\x8e\xc4\xec\xce',1,,,
29,"
      select language, counter_name, counter_value from sys.dm_external_script_execution_stats
    ",0,0,0,b'\xdf\x02d\xce\xafM\xff\x0c',"b""`'\x97\xd1\xe1WM\x8a""",1,,,
30,"
      SELECT count_big(*) AS external_resource_pools from sys.resource_governor_external_resource_pools WHERE name != 'default'
    ",0,1,1,b'[\x96\xa1\x06O\xd7\xb7-',"b""\x97'\x81\xd7\xa4\x94\xa3\xa4""",1,,,
31,"
      select counter_name, cntr_value from sys.dm_os_performance_counters where object_name like '%External Scripts%'
    ",0,8,8,b'\xd6>@\xf8NN-\x17',b'^\xd9\xcf\x07:\xdb;\x93',1,,,
32,"
      select cntr_value as merge_policy_evaluation
      from sys.dm_os_performance_counters WITH(nolock)
      where
      object_name like '%columnstore%' and
      counter_name ='Total Merge Policy Evaluations' and
      instance_name = '_Total'
    ",0,1,1,b'B+\xce1V\x9a\\\n',b'^\xd9\xcf\x07:\xdb;\x93',1,,,
33,"
      -- SQLXI datapoint - count of db files in XI path
      SELECT COUNT_BIG(name) AS xi_db_file_count
      FROM sys.master_files WITH(nolock)
      WHERE credential_id IS NOT NULL
      AND state = 0
    ",0,1,1,"b""\xde'`U\xe5\xd3q\x85""",b'W\x96\xd3e\xa6\xa6\\\xbf',1,,,
34,"
      SELECT
      total_count,
      rows_touched,
      dependencies_taken,
      dependencies_failed,
      validation_failures
      FROM sys.dm_xtp_transaction_stats WITH(nolock)
    ",0,1,1,b'\x12\x9c\x8f\x83\xc1F\x9f\x1c',b'.\x82v=\xab\xcc\xde\xf7',1,,,
35,"
      SELECT
      ISNULL(sum(allocated_bytes)/1024,0) AS total_memory_allocated_for_system_kb
      FROM sys.dm_xtp_system_memory_consumers WITH(nolock)
    ",1,1,1,b'\xf9\xf8\xeb\x95\x17R\x91\xad',"b""\x92\x0f\xf2'v>u\x8d""",1,,,
36,"
      select 1 as name, -- Temp DB
      case mf.type_desc
      when 'ROWS' then 1
      when 'LOG' then 2
      end as 'type',
      CAST(SUM(num_of_reads) as nvarchar(128)) as total_num_of_reads,
      CAST(SUM(num_of_bytes_read) as nvarchar(128)) as total_num_of_bytes_read,
      CAST(SUM(io_stall_read_ms) as nvarchar(128)) as total_io_stall_read_ms,
      CAST(SUM(num_of_writes) as nvarchar(128)) as total_num_of_writes,
      CAST(SUM(num_of_bytes_written) as nvarchar(128)) as total_num_of_bytes_written,
      CAST(SUM(io_stall_write_ms) as nvarchar(128)) as total_io_stall_write_ms,
      COUNT_BIG(*) as total
      from sys.dm_io_virtual_file_stats(NULL, NULL) fs, sys.master_files mf
      where fs.database_id = mf.database_id and fs.file_id = mf.file_id and fs.database_id = 2 and (fs.num_of_reads != 0 OR fs.num_of_writes != 0)
      group by mf.name, mf.type, mf.type_desc

      UNION ALL

      select 2 as name, -- User DBs
      case mf.type_desc
      when 'ROWS' then 1
      when 'LOG' then 2
      end as 'type',
      CAST(SUM(num_of_reads) as nvarchar(128)) as total_num_of_reads,
      CAST(SUM(num_of_bytes_read) as nvarchar(128)) as total_num_of_bytes_read,
      CAST(SUM(io_stall_read_ms) as nvarchar(128)) as total_io_stall_read_ms,
      CAST(SUM(num_of_writes) as nvarchar(128)) as total_num_of_writes,
      CAST(SUM(num_of_bytes_written) as nvarchar(128)) as total_num_of_bytes_written,
      CAST(SUM(io_stall_write_ms) as nvarchar(128)) as total_io_stall_write_ms,
      COUNT_BIG(*) as total
      from sys.dm_io_virtual_file_stats(NULL, NULL) fs, sys.master_files mf
      where fs.database_id = mf.database_id and fs.file_id = mf.file_id and fs.database_id > 4 and (fs.num_of_reads != 0 OR fs.num_of_writes != 0)
      group by mf.type, mf.type_desc

      UNION ALL

      select 3 as name, -- System DBs
      case mf.type_desc
      when 'ROWS' then 1
      when 'LOG' then 2
      end as 'type',
      CAST(SUM(num_of_reads) as nvarchar(128)) as total_num_of_reads,
      CAST(SUM(num_of_bytes_read) as nvarchar(128)) as total_num_of_bytes_read,
      CAST(SUM(io_stall_read_ms) as nvarchar(128)) as total_io_stall_read_ms,
      CAST(SUM(num_of_writes) as nvarchar(128)) as total_num_of_writes,
      CAST(SUM(num_of_bytes_written) as nvarchar(128)) as total_num_of_bytes_written,
      CAST(SUM(io_stall_write_ms) as nvarchar(128)) as total_io_stall_write_ms,
      COUNT_BIG(*) as total
      from sys.dm_io_virtual_file_stats(NULL, NULL) fs, sys.master_files mf WITH(nolock)
      where fs.database_id = mf.database_id and fs.file_id = mf.file_id and (fs.database_id = 1 OR fs.database_id = 3 OR fs.database_id = 4) and (fs.num_of_reads != 0 OR fs.num_of_writes != 0)
      group by mf.type, mf.type_desc

    ",1,4,4,b'\xd1\xdex\xae\xefo\x0cD',b'\x1e\x96\xb9\xd3\n=%j',1,,,
